index,build,test_index,SIZE,NTHREADS,y_RX-RATE-PPS,y_RX-RATE-MBPS,y_LOSE-RATE,y_AVG-LAT,y_RX-GOODPUT-GBPS-PKTGEN,y_GOODRATEPC,run_index
170,DPA IPLOOKUP 1K,26,128,254,1127333.0,1334.7624872,0.98603949332741,0.0,1.0,1.3960506672589967,2
171,DPA IPLOOKUP 1K,27,256,254,1127944.0,2490.4996776,0.97478098524002,0.0,2.0,2.5219014759980007,0
172,DPA IPLOOKUP 1K,27,256,254,1127263.0,2488.9970536,0.9747811995958,0.0,2.0,2.5218800404199992,1
173,DPA IPLOOKUP 1K,27,256,254,1128159.0,2490.97394,0.97478247563815,0.0,2.0,2.5217524361849986,2
174,DPA IPLOOKUP 1K,28,512,254,1127553.0,4798.8657128,0.95107259821704,0.0,4.0,4.892740178295996,0
175,DPA IPLOOKUP 1K,28,512,254,1128030.0,4800.8962824,0.95106392676876,0.0,4.0,4.893607323124005,1
176,DPA IPLOOKUP 1K,28,512,254,1128300.0,4802.0449608,0.95106402118429,0.0,4.0,4.893597881570999,2
177,DPA IPLOOKUP 1K,29,1024,254,1127455.0,9416.5022248,0.9044680821083,0.0,9.0,9.55319178917,0
178,DPA IPLOOKUP 1K,29,1024,254,1127788.0,9419.2851432,0.90445742558832,0.0,9.0,9.554257441168001,1
179,DPA IPLOOKUP 1K,29,1024,254,1127928.0,9420.4552424,0.90445815221448,0.0,9.0,9.554184778551999,2
180,DPA IPLOOKUP 10K,0,64,16,6914.0,4.646644,0.99993548918961,0.0,,0.006451081039005047,0
181,DPA IPLOOKUP 10K,0,64,16,6917.0,4.6484584,0.99993611220625,0.0,,0.006388779374999487,1
182,DPA IPLOOKUP 10K,0,64,16,6918.0,4.6492648,0.99993617987887,0.0,,0.006382012113004265,2
183,DPA IPLOOKUP 10K,1,128,16,6917.0,8.1898248,0.99991615793952,0.0,,0.008384206047995502,0
184,DPA IPLOOKUP 10K,1,128,16,6916.0,8.1893512,0.99991616935857,0.0,,0.008383064143002716,1
185,DPA IPLOOKUP 10K,1,128,16,6923.0,8.1971656,0.99991606910897,0.0,,0.008393089102998186,2
186,DPA IPLOOKUP 10K,2,256,16,6923.0,15.285892,0.99984535669298,0.0,,0.015464330701997486,0
187,DPA IPLOOKUP 10K,2,256,16,6918.0,15.2739688,0.99984548607054,0.0,,0.015451392945997622,1
188,DPA IPLOOKUP 10K,2,256,16,6913.0,15.2633704,0.99984559629497,0.0,,0.015440370502994849,2
189,DPA IPLOOKUP 10K,3,512,16,6919.0,29.4486856,0.99970002030441,0.0,,0.02999796955900358,0
190,DPA IPLOOKUP 10K,3,512,16,6915.0,29.4316616,0.99970021392707,0.0,,0.029978607293001946,1
191,DPA IPLOOKUP 10K,3,512,16,6918.0,29.4414504,0.9997001186907,0.0,,0.029988130930003187,2
192,DPA IPLOOKUP 10K,4,1024,16,6919.0,57.7897288,0.99941446244341,0.0,,0.058553755658996565,0
193,DPA IPLOOKUP 10K,4,1024,16,6919.0,57.7897288,0.99941450975614,0.0,,0.05854902438600096,1
194,DPA IPLOOKUP 10K,4,1024,16,6915.0,57.7554856,0.99941483863887,0.0,,0.058516136112996,2
195,DPA IPLOOKUP 10K,5,64,32,13833.0,9.2960104,0.99987227171956,0.0,,0.012772828044005369,0
196,DPA IPLOOKUP 10K,5,64,32,13842.0,9.3025384,0.99987198706333,0.0,,0.012801293666997449,1
197,DPA IPLOOKUP 10K,5,64,32,13828.0,9.2926504,0.99987238396625,0.0,,0.012761603374999986,2
198,DPA IPLOOKUP 10K,6,128,32,13833.0,16.378132,0.99983227388864,0.0,,0.016772611135995596,0
199,DPA IPLOOKUP 10K,6,128,32,13840.0,16.3872488,0.99983224165019,0.0,,0.01677583498099766,1
200,DPA IPLOOKUP 10K,6,128,32,13830.0,16.3746216,0.9998323961966,0.0,,0.016760380339997383,2
201,DPA IPLOOKUP 10K,7,256,32,13842.0,30.5639272,0.99969078975925,0.0,,0.030921024075003523,0
202,DPA IPLOOKUP 10K,7,256,32,13833.0,30.5422888,0.9996910329652,0.0,,0.030896703479998955,1
203,DPA IPLOOKUP 10K,7,256,32,13837.0,30.5526664,0.99969091273823,0.0,,0.030908726177003576,2
204,DPA IPLOOKUP 10K,8,512,32,13836.0,58.8860136,0.99940022267003,0.0,,0.05997773299699638,0
205,DPA IPLOOKUP 10K,8,512,32,13835.0,58.8810696,0.9994002733259,0.0,,0.05997266741000207,1
206,DPA IPLOOKUP 10K,8,512,32,13841.0,58.9078664,0.99939997486966,0.0,,0.06000251303399651,2
207,DPA IPLOOKUP 10K,9,1024,32,13830.0,115.5053896,0.99882972391095,0.0,,0.11702760890499597,0
208,DPA IPLOOKUP 10K,9,1024,32,13832.0,115.522372,0.99882958642451,0.0,,0.11704135754899703,1
209,DPA IPLOOKUP 10K,9,1024,32,13847.0,115.649044,0.99882836033532,0.0,,0.11716396646800353,2
210,DPA IPLOOKUP 10K,10,64,64,27662.0,18.5892328,0.99974391834584,0.0,,0.025608165416002304,0
211,DPA IPLOOKUP 10K,10,64,64,27672.0,18.5958856,0.9997438263225,0.0,,0.025617367749997122,1
212,DPA IPLOOKUP 10K,10,64,64,27675.0,18.5981704,0.99974423796928,0.0,,0.025576203071997483,2
