feature_name,feature_value,feature_value_all,feature_value_name,norm_score,score,type,vis
range,"(1.884129, 6.755744)","[0.0010489814216271044, 1.884129064832964, 6.755743844124582, 34.00012734936129, 164.90136858540188, 27356.06338867178]",range_2,0.0,11.572355,continuous,bar
range,"(1.884129, 6.755744)","[0.0010489814216271044, 1.884129064832964, 6.755743844124582, 34.00012734936129, 164.90136858540188, 27356.06338867178]",range_2,0.774402,11.610334,continuous,box
range,"(1.884129, 6.755744)","[0.0010489814216271044, 1.884129064832964, 6.755743844124582, 34.00012734936129, 164.90136858540188, 27356.06338867178]",range_2,0.413647,11.592642,continuous,histogram
range,"(1.884129, 6.755744)","[0.0010489814216271044, 1.884129064832964, 6.755743844124582, 34.00012734936129, 164.90136858540188, 27356.06338867178]",range_2,0.127105,11.578589,continuous,heatmap
normalized_range,"(-inf, 0.023459)","[0.023459269971616813, 0.4650886678887952, 1.0605909924353323, 1.7842451153262968, 2.6604745115772372, 21.228070812840613]",normalized_range_0,1.0,11.667624,continuous,line
normalized_range,"(-inf, 0.023459)","[0.023459269971616813, 0.4650886678887952, 1.0605909924353323, 1.7842451153262968, 2.6604745115772372, 21.228070812840613]",normalized_range_0,0.950654,11.665242,continuous,scatter
normalized_range,"(-inf, 0.023459)","[0.023459269971616813, 0.4650886678887952, 1.0605909924353323, 1.7842451153262968, 2.6604745115772372, 21.228070812840613]",normalized_range_0,0.0,11.619366,continuous,bar
normalized_range,"(-inf, 0.023459)","[0.023459269971616813, 0.4650886678887952, 1.0605909924353323, 1.7842451153262968, 2.6604745115772372, 21.228070812840613]",normalized_range_0,0.38161,11.637782,continuous,box
normalized_range,"(-inf, 0.023459)","[0.023459269971616813, 0.4650886678887952, 1.0605909924353323, 1.7842451153262968, 2.6604745115772372, 21.228070812840613]",normalized_range_0,0.092393,11.623825,continuous,histogram
normalized_range,"(-inf, 0.023459)","[0.023459269971616813, 0.4650886678887952, 1.0605909924353323, 1.7842451153262968, 2.6604745115772372, 21.228070812840613]",normalized_range_0,0.138958,11.626072,continuous,heatmap
entropy,"(-inf, 0.224124)","[0.2241236507892609, 1.3727904235932133, 2.299301989847614, 3.066440336473527, 4.227416124036235, 7.226597045621564]",entropy_0,0.835259,11.672438,continuous,line
entropy,"(-inf, 0.224124)","[0.2241236507892609, 1.3727904235932133, 2.299301989847614, 3.066440336473527, 4.227416124036235, 7.226597045621564]",entropy_0,1.0,11.681817,continuous,scatter
entropy,"(-inf, 0.224124)","[0.2241236507892609, 1.3727904235932133, 2.299301989847614, 3.066440336473527, 4.227416124036235, 7.226597045621564]",entropy_0,0.0,11.624887,continuous,bar
entropy,"(-inf, 0.224124)","[0.2241236507892609, 1.3727904235932133, 2.299301989847614, 3.066440336473527, 4.227416124036235, 7.226597045621564]",entropy_0,0.362615,11.64553,continuous,box
entropy,"(-inf, 0.224124)","[0.2241236507892609, 1.3727904235932133, 2.299301989847614, 3.066440336473527, 4.227416124036235, 7.226597045621564]",entropy_0,0.517644,11.654356,continuous,histogram
entropy,"(-inf, 0.224124)","[0.2241236507892609, 1.3727904235932133, 2.299301989847614, 3.066440336473527, 4.227416124036235, 7.226597045621564]",entropy_0,0.407139,11.648065,continuous,heatmap
gini,"(0.179467, 0.266161)","[0.00395054218449419, 0.09158154010772704, 0.17946683315019454, 0.2661612808704376, 0.381471216414244, 0.5444116135758735]",gini_3,0.89497,11.696579,continuous,line
gini,"(0.179467, 0.266161)","[0.00395054218449419, 0.09158154010772704, 0.17946683315019454, 0.2661612808704376, 0.381471216414244, 0.5444116135758735]",gini_3,1.0,11.704894,continuous,scatter
gini,"(0.179467, 0.266161)","[0.00395054218449419, 0.09158154010772704, 0.17946683315019454, 0.2661612808704376, 0.381471216414244, 0.5444116135758735]",gini_3,0.311371,11.650374,continuous,bar
gini,"(0.179467, 0.266161)","[0.00395054218449419, 0.09158154010772704, 0.17946683315019454, 0.2661612808704376, 0.381471216414244, 0.5444116135758735]",gini_3,0.91662,11.698293,continuous,box
gini,"(0.179467, 0.266161)","[0.00395054218449419, 0.09158154010772704, 0.17946683315019454, 0.2661612808704376, 0.381471216414244, 0.5444116135758735]",gini_3,0.0,11.625722,continuous,histogram
gini,"(0.179467, 0.266161)","[0.00395054218449419, 0.09158154010772704, 0.17946683315019454, 0.2661612808704376, 0.381471216414244, 0.5444116135758735]",gini_3,0.112602,11.634637,continuous,heatmap
q25,"(-inf, 0.003833)","[0.00383262092795884, 0.993269883817242, 2.486012015035075, 17.989219874720412, 2000.9977107878653]",q25_0,1.0,11.654959,continuous,line
q25,"(-inf, 0.003833)","[0.00383262092795884, 0.993269883817242, 2.486012015035075, 17.989219874720412, 2000.9977107878653]",q25_0,0.858899,11.643645,continuous,scatter
q25,"(-inf, 0.003833)","[0.00383262092795884, 0.993269883817242, 2.486012015035075, 17.989219874720412, 2000.9977107878653]",q25_0,0.0,11.574775,continuous,bar
q25,"(-inf, 0.003833)","[0.00383262092795884, 0.993269883817242, 2.486012015035075, 17.989219874720412, 2000.9977107878653]",q25_0,0.451153,11.61095,continuous,box
q25,"(-inf, 0.003833)","[0.00383262092795884, 0.993269883817242, 2.486012015035075, 17.989219874720412, 2000.9977107878653]",q25_0,0.449238,11.610797,continuous,histogram
q25,"(-inf, 0.003833)","[0.00383262092795884, 0.993269883817242, 2.486012015035075, 17.989219874720412, 2000.9977107878653]",q25_0,0.255809,11.595287,continuous,heatmap
q75,"(-inf, 0.007131)","[0.007131026095875928, 1.65858569099057, 18.23213297659351, 2009.0132802261844]",q75_0,1.0,11.659146,continuous,line
q75,"(-inf, 0.007131)","[0.007131026095875928, 1.65858569099057, 18.23213297659351, 2009.0132802261844]",q75_0,0.86438,11.648474,continuous,scatter
q75,"(-inf, 0.007131)","[0.007131026095875928, 1.65858569099057, 18.23213297659351, 2009.0132802261844]",q75_0,0.0,11.580458,continuous,bar
q75,"(-inf, 0.007131)","[0.007131026095875928, 1.65858569099057, 18.23213297659351, 2009.0132802261844]",q75_0,0.489815,11.619,continuous,box
q75,"(-inf, 0.007131)","[0.007131026095875928, 1.65858569099057, 18.23213297659351, 2009.0132802261844]",q75_0,0.486089,11.618707,continuous,histogram
q75,"(-inf, 0.007131)","[0.007131026095875928, 1.65858569099057, 18.23213297659351, 2009.0132802261844]",q75_0,0.271641,11.601832,continuous,heatmap
med_abs_dev,"(-inf, 2.4e-05)","[2.4265916763397396e-05, 0.7801671246847797, 2.1782844193520083, 13.450038244185908, 2452.4554838709664]",med_abs_dev_0,1.0,11.632175,continuous,line
med_abs_dev,"(-inf, 2.4e-05)","[2.4265916763397396e-05, 0.7801671246847797, 2.1782844193520083, 13.450038244185908, 2452.4554838709664]",med_abs_dev_0,0.799068,11.621858,continuous,scatter
med_abs_dev,"(-inf, 2.4e-05)","[2.4265916763397396e-05, 0.7801671246847797, 2.1782844193520083, 13.450038244185908, 2452.4554838709664]",med_abs_dev_0,0.093161,11.585611,continuous,bar
med_abs_dev,"(-inf, 2.4e-05)","[2.4265916763397396e-05, 0.7801671246847797, 2.1782844193520083, 13.450038244185908, 2452.4554838709664]",med_abs_dev_0,0.573483,11.610274,continuous,box
med_abs_dev,"(-inf, 2.4e-05)","[2.4265916763397396e-05, 0.7801671246847797, 2.1782844193520083, 13.450038244185908, 2452.4554838709664]",med_abs_dev_0,0.489766,11.605976,continuous,histogram
med_abs_dev,"(-inf, 2.4e-05)","[2.4265916763397396e-05, 0.7801671246847797, 2.1782844193520083, 13.450038244185908, 2452.4554838709664]",med_abs_dev_0,0.0,11.580828,continuous,heatmap
